practice_slug,capability_slug,relation_type,note,source_note,source_url
single-intake-channel,data-capture,required,,curated starter set,
single-intake-channel,integration,supporting,,curated starter set,
request-typification,classification,required,,curated starter set,
request-typification,rules-engine,supporting,,curated starter set,
intake-checklists,data-capture,supporting,,curated starter set,
rule-based-routing,workflow-routing,required,,curated starter set,
rule-based-routing,rules-engine,required,,curated starter set,
priority-queue,workflow-routing,required,,curated starter set,
priority-queue,case-management,supporting,,curated starter set,
data-validation-at-source,rules-engine,required,,curated starter set,
data-validation-at-source,data-capture,supporting,,curated starter set,
two-level-control,case-management,supporting,,curated starter set,
two-level-control,audit-logging,supporting,,curated starter set,
approval-workflow,workflow-routing,required,,curated starter set,
approval-workflow,notifications,supporting,,curated starter set,
parallel-approvals,workflow-routing,required,,curated starter set,
knowledge-base,knowledge-retrieval,required,,curated starter set,
response-templates,document-generation,required,,curated starter set,
response-templates,knowledge-retrieval,supporting,,curated starter set,
document-standardization,document-generation,required,,curated starter set,
document-digitization,ocr-idp,required,,curated starter set,
document-digitization,data-capture,supporting,,curated starter set,
sla-monitoring,sla-tracking,required,,curated starter set,
sla-monitoring,notifications,supporting,,curated starter set,
process-dashboards,analytics-dashboards,required,,curated starter set,
audit-trail,audit-logging,required,,curated starter set,
compliance-checkpoints,rules-engine,required,,curated starter set,
compliance-checkpoints,audit-logging,supporting,,curated starter set,
self-service-portal,case-management,supporting,,curated starter set,
self-service-portal,integration,supporting,,curated starter set,
shared-service-center,case-management,supporting,,curated starter set,
escalation-rules,workflow-routing,required,,curated starter set,
escalation-rules,sla-tracking,required,,curated starter set,
escalation-rules,notifications,supporting,,curated starter set,
request-typification,screening-scoring,supporting,,curated starter set,